id	language	nonderived	basic	gb	ry	latitude	longitude	macroarea	genus	family	altitude	precipitation
103	Tlapanec	5.0	8.25	0	1	17.08333	-99.0	North America	Subtiaba-Tlapanec	Oto-Manguean	733	1000
104	Tol	5.0	5.0	0	1	14.666670000000002	-87.0	North America	Tol	Tol	1314	1000
105	Tsafiki	5.0	5.0	0	1	-1.0	-79.33333	South America	Barbacoan	Barbacoan	115	1000
106	Tucano	5.0	5.0	0	0	0.5	-69.16667	South America	Tucanoan	Tucanoan	128	3000
107	Vagla	4.0	3.5	0	1	9.41667	-2.41667	Africa	Gur	Niger-Congo	310	1000
108	Vasavi	5.0	6.25	0	1	24.5	71.5	Eurasia	Indic	Indo-European	22	500
109	Warlpiri	5.0	6.25	0	1	-20.0	132.33333000000002	Australia	Western Pama-Nyungan	Pama-Nyungan	288	250
110	Wobe	3.0	3.5	0	0	7.41667	-7.33333	Africa	Kru	Niger-Congo	315	2000
111	Yakan	6.0	3.5	1	1	6.5	122.0	Papunesia	Sama-Bajaw	Austronesian	689	3000
112	Yaminahua	5.0	5.0	0	1	-8.0	-73.0	South America	Panoan	Panoan	242	2000
113	Yucuna	5.0	6.25	0	1	-0.75	-71.0	South America	Inland Northern Arawakan	Arawakan	162	3000
114	Yupik (Siberian)	5.0	6.25	0	1	65.0	-173.0	Eurasia	Eskimo	Eskimo-Aleut	657	500
115	Zapotec (Texmelucan)	5.0	6.25	0	1	16.5	-97.16667	North America	Zapotecan	Oto-Manguean	1588	1000
